,content_length,last_modified,date_retrieved,content_type,file_url,eis_url,eis_number
0,290416,"Fri, 07 Nov 2014 11:45:40 GMT","Fri, 07 Nov 2014 16:03:44 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140282/%24file/20140282.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/57AA1805284A188985257D8700215935,20140282
1,771644,"Fri, 07 Nov 2014 11:14:44 GMT","Fri, 07 Nov 2014 16:03:44 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140285/%24file/20140285.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/85F87AED5215394085257D8700215B63,20140285
2,606094,"Fri, 07 Nov 2014 11:03:44 GMT","Fri, 07 Nov 2014 16:03:44 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140279/%24file/20140279.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/9F7DBFF7F8429C7C85257D8700214FE2,20140279
3,2128562,"Fri, 07 Nov 2014 11:45:45 GMT","Fri, 07 Nov 2014 16:03:44 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140269/%24file/20140269.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/AA9B37D5A9094A3385257D8700214F17,20140269
4,668566,"Fri, 31 Oct 2014 10:15:07 GMT","Fri, 07 Nov 2014 16:03:44 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140268/%24file/20140268.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/5E206B99E461CE8A85257D82001BCF36,20140268
5,186285,"Fri, 07 Nov 2014 11:43:26 GMT","Fri, 07 Nov 2014 16:03:44 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140265/%24file/20140265.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/B8AD5F5E6B5C036E85257D8700214E49,20140265
6,243589,"Sun, 26 Oct 2014 19:07:46 GMT","Fri, 07 Nov 2014 16:03:44 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140258/%24file/20140258.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/B7BFAE67ED9D03A885257D73001BB3EA,20140258
7,72800,"Fri, 17 Oct 2014 10:14:30 GMT","Fri, 07 Nov 2014 16:03:44 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140263/%24file/20140263.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/16025EBB40A5507085257D74001BC05D,20140263
8,1500100,"Fri, 07 Nov 2014 11:03:47 GMT","Fri, 07 Nov 2014 16:03:44 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140262/%24file/20140262.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/E9A4E50484C2C17385257D870021482E,20140262
9,1692031,"Fri, 24 Oct 2014 10:37:42 GMT","Fri, 07 Nov 2014 16:03:44 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140244/%24file/20140244.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/5A59FF6A16C8E92885257D7A001BA2D7,20140244
