,content_length,last_modified,date_retrieved,content_type,file_url,eis_url,eis_number
0,19585707,"Fri, 07 Nov 2014 11:13:19 GMT","Fri, 07 Nov 2014 15:35:41 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140311/%24file/Southeastern%20States%20Draft%20Resource%20Management%20Plan%20and%20Environmental%20Impact%20Statement.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3B3CE406F34789F85257D8700216C98,20140311
1,16629923,"Fri, 07 Nov 2014 11:45:33 GMT","Fri, 07 Nov 2014 15:35:41 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%201_Environmental%20Analysis.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
2,23786592,"Fri, 07 Nov 2014 11:45:33 GMT","Fri, 07 Nov 2014 15:35:41 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%202_Appendices%20A-R.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
3,72072,"Fri, 07 Nov 2014 11:45:33 GMT","Fri, 07 Nov 2014 15:35:41 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%203_Appendix_S_Part_1_Index.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
4,21415751,"Fri, 07 Nov 2014 11:45:33 GMT","Fri, 07 Nov 2014 15:35:41 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%203_Appendix_S_Part_2_FA-SA-LA-NAT.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
5,45916086,"Fri, 07 Nov 2014 11:47:29 GMT","Fri, 07 Nov 2014 15:36:14 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%203_Appendix_S_Part_3_CO1-41.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
6,46613644,"Fri, 07 Nov 2014 11:47:29 GMT","Fri, 07 Nov 2014 15:36:14 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%203_Appendix_S_Part_4_CO42-64.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
7,19886635,"Fri, 07 Nov 2014 11:47:29 GMT","Fri, 07 Nov 2014 15:36:14 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%203_Appendix_S_Part_5_CO65-76.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
8,32795491,"Fri, 07 Nov 2014 11:47:29 GMT","Fri, 07 Nov 2014 15:36:14 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%203_Appendix_S_Part_6_IND1-199.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
9,28082628,"Fri, 07 Nov 2014 11:47:29 GMT","Fri, 07 Nov 2014 15:36:14 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%203_Appendix_S_Part_7_IND200-291.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
10,27332777,"Fri, 07 Nov 2014 11:45:33 GMT","Fri, 07 Nov 2014 15:35:41 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%203_Appendix_S_Part_8_IND292-374.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
11,38108293,"Fri, 07 Nov 2014 11:45:33 GMT","Fri, 07 Nov 2014 15:35:41 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%203_Appendix_S_Part_9_IND375-522.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
12,35636034,"Fri, 07 Nov 2014 11:45:33 GMT","Fri, 07 Nov 2014 15:35:42 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%203_Appendix_S_Part_10_IND523-706.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
13,19762665,"Fri, 07 Nov 2014 11:45:33 GMT","Fri, 07 Nov 2014 15:35:42 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%203_Appendix_S_Part_11_IND707-774.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
14,38324518,"Fri, 07 Nov 2014 11:45:33 GMT","Fri, 07 Nov 2014 15:35:42 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140312/%24file/Constitution_FEIS_Vol%203_Appendix_S_Part_12_PM1-4_AP1.pdf,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/C3A5113D2727361885257D8700217274,20140312
