,content_length,content_type,date_retrieved,eis_number,file_url_epa,file_url_s3,last_modified,title
0,7076129,application/pdf,2014-12-23 15:53:33.352849,20140362,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140362/%24file/2014%20GWNF%20FEIS%20Revised%20Forest%20Plan.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140362/2014-gwnf-feis-revised-forest-plan.pdf,"Tue, 23 Dec 2014 11:36:29 GMT",EIS Document: 2014 GWNF FEIS Revised Forest Plan.pdf
1,7319553,application/pdf,2014-12-23 15:53:33.400432,20140362,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140362/%24file/2014%20GWNF%20FEIS%20Appendices%20for%20the%20Revised%20Forest%20Plan.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140362/2014-gwnf-feis-appendices-for-the-revised-forest-plan.pdf,"Tue, 23 Dec 2014 11:36:29 GMT",EIS Document: 2014 GWNF FEIS Appendices for the Revised Forest Plan.pdf
2,24704509,application/pdf,2014-12-23 15:53:33.458583,20140367,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140367/%24file/20141211AntelopeDraftEIS.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140367/20141211antelopedrafteis.pdf,"Tue, 23 Dec 2014 11:21:29 GMT",EIS Document: 20141211AntelopeDraftEIS.pdf
3,10276613,application/pdf,2014-12-23 15:53:33.506494,20140367,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140367/%24file/AppendixAMaps.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140367/appendixamaps.pdf,"Tue, 23 Dec 2014 11:21:29 GMT",EIS Document: AppendixAMaps.pdf
4,39184,application/pdf,2014-12-23 15:53:33.557034,20140367,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140367/%24file/AppendixBGlossary.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140367/appendixbglossary.pdf,"Tue, 23 Dec 2014 11:21:29 GMT",EIS Document: AppendixBGlossary.pdf
5,64127,application/pdf,2014-12-23 15:53:33.605388,20140367,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140367/%24file/AppendixCCumulativeEffects.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140367/appendixccumulativeeffects.pdf,"Tue, 23 Dec 2014 11:21:29 GMT",EIS Document: AppendixCCumulativeEffects.pdf
6,104204,application/pdf,2014-12-23 15:53:33.653117,20140367,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140367/%24file/AppendixDMonitoring.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140367/appendixdmonitoring.pdf,"Tue, 23 Dec 2014 11:21:29 GMT",EIS Document: AppendixDMonitoring.pdf
7,3811590,application/pdf,2014-12-23 15:53:33.713538,20140364,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140364/%24file/APHIS%20DEIS%20Feral%20Swine%20Damage%20Management%20-%20A%20National%20Approach.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140364/aphis-deis-feral-swine-damage-management--a-national-approach.pdf,"Tue, 23 Dec 2014 11:21:20 GMT",EIS Document: APHIS DEIS Feral Swine Damage Management - A National Approach.pdf
8,17015898,application/pdf,2014-12-23 15:53:33.792725,20140359,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140359/%24file/SCapSt_SDEIS_FINAL%20December%202014%20Upload.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140359/scapst_sdeis_final-december-2014-upload.pdf,"Tue, 23 Dec 2014 11:35:50 GMT",EIS Document: SCapSt_SDEIS_FINAL December 2014 Upload.pdf
9,46394530,application/pdf,2014-12-23 15:53:33.842120,20140359,http://yosemite.epa.gov/oeca/webeis.nsf/%28EISDocs%29/20140359/%24file/SCS%20SDEIS%20Appendices%20A%20-%20F.pdf,https://s3.amazonaws.com/epaeis/12-19-2014/20140359/scs-sdeis-appendices-a--f.pdf,"Tue, 23 Dec 2014 11:35:05 GMT",EIS Document: SCS SDEIS Appendices A - F.pdf
