,date,agency,state,document_type,title,report_link,eis_number,federal_register_date,contact_name,comment_due_review_date,contact_phone,amended_notice_date,amended_notice,supplemental_info,website,comment_letter_date,rating,num_files,list_of_links
0,10/12/2007,USFS,MT,Final EIS,"Little Belt-Castle-North Half Crazy Mountains Travel Management Plan, To Change the Management of Motorized and Non-motorized Travel on the Road, Trails, and Areas within, Belt Creek, Judith, Musselshell, and White Sulphur Springs Ranger Districts, Lewis and Clark National Forest, Cascade, Judith Basin, Meagher, Wheatland, Sweetgrass and Park Counties, MT",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/3FAB8BA1FB8194B685257BEB001BB0CF,20070413,10/12/2007,Dick Schwecke,11/13/2007,406-791-7700,,, ,,11/01/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070413/%24file/20070413.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
1,10/12/2007,USFS,UT,Final EIS,"Ogden Ranger District Travel Plan Revision, To Present Additional Analysis for Six Alternatives, Wasatch-Cache National Forest, Ogden Ranger District, Box Elder, Cache, Morgan, Weber and Rich Counties, UT",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/66B67FB18C19EEBB85257BEB001BB0D7,20070415,10/12/2007,Rick Vallejos,11/13/2007,801-625-5112,,, ,,11/06/2007,,0.0,
2,10/12/2007,USFS,CA,Final EIS,"SPI Road Project, Construction of an Access Road Across National Forest Land, Special Use Permit, Six Rivers National Forest, Lower Trinity Ranger District, Trinity County, CA",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/D4F49A38235FBB7185257BEB001BB125,20070427,10/12/2007,Linda West,11/13/2007,707-441-3561,,, ,,11/09/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070427/%24file/20070427.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
3,10/12/2007,USFS,MT,Final EIS,"Rocky Mountain Ranger District Travel Management  Plan, Proposes to Change the Management of Motorized and Non-Motorized Travel, Lewis and Clark National Forest, Glacier, Pondera, Teton and Lewis and Clark Counties, MT",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/DE689EE00BB10F5385257BEB001BB0D4,20070414,10/12/2007,Dick Schwecke,11/13/2007,406-791-7700,,, ,,11/01/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070414/%24file/20070414.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
4,10/12/2007,USFWS,CA,Draft EIS,"Agua Caliente Tribal Habitat Conservation Plan (THCP), Application for an Incidental Take Permit for 24  Covered Species, Coachella Valley, Riverside County, CA",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/14B9F804C524503985257BEB001BB0F3,20070420,10/12/2007,Jim Bartel,01/10/2008,760-431-9440,11/30/2007,"Revision to FR Notice Published 10/12/2007:   Correction to Comment Period from 
11/26/2007 to 01/10/2008", ,,01/10/2008,EC2,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070420/%24file/20070420.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
5,10/05/2007,USFS,MT,Draft EIS,"Beartooth Ranger District Travel Management Planning, Proposing to Designate Routes for Public Motorized Use, and Change Management of Pack and Saddle Stock on Certain Trail, Beartooth Ranger District, Custer National Forest, Carbon, Stillwater, Sweet Grass, and Park Counties, MT",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/0BB6E7D02C8679A985257BEB001BB0C3,20070409,10/05/2007,Doug Epperly,12/19/2007,406-657-6205 Ext 225,11/23/2007,"Revision for FR Notice Published 10/05/2007:  Extending Comment Period from 
11/19/2007 to 12/19/2007", ,,11/05/2007,EC2,0.0,
6,10/05/2007,USFS,Multi,Final EIS,"Yellowstone and Grand Teton National Parks and the John D. Rockefeller, Jr. Memorial Parkway, Winter Use Plan, To Provide a Framework for Managing Winter Use Activities, Implementation, Fremont County, ID, Gallatin and Park Counties, MT Park and Teton Counties, WY",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/3131BB79C1F423AE85257BEB001BB0B8,20070405,10/05/2007,Debbie VanDerPolder,11/05/2007,307-344-2019,,, ,,11/09/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070405/%24file/20070405.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
7,10/05/2007,USFS,MT,Final EIS,"North Bridger Allotment Management Plan Update, Proposal to Update Allotment Management Plan on 11 Livestock Grazing Allotments, Bozeman Ranger District, Gallatin National Forest, Gallatin County, MT",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/36BC62FCB5D2030C85257BEB001BB0BC,20070407,10/05/2007,John Councilman,11/05/2007,406-522-2533,,, ,,10/24/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070407/%24file/20070407.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
8,10/05/2007,USFS,ND,Final EIS,"NE McKenzie Allotment Management Plan Revisions, Proposes to Continue Livestock Grazing on 28 Allotments, Dakota Prairie Grasslands Land and Resource Management Plan, Dakota Prairie Grasslands, McKenzie Ranger District, McKenzie County, ND",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/9770776218A6EA1D85257BEB001BB0C0,20070408,10/05/2007,Libby Knotts,11/05/2007,701-842-2393,,, ,,11/05/2007,,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070408/%24file/20070408.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
9,10/05/2007,USFS,AK,Draft EIS,"Iyouktug Timber Sales, Proposes Harvesting Timber, Implementation, Hoonah Ranger District, Tongass National Forest, Hoonah, AK",http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/F0C4FC97B326680985257BEB001BB0BB,20070406,10/05/2007,Hans von Rekowski,11/19/2007,907-747-4217,,, ,,11/19/2007,EC2,3.0,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20070406/%24file/20070406.PDF http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/epahome/pdf.html http://yosemite.epa.gov/oeca/webeis.nsf/http%3A//www.epa.gov/compliance/contact/nepa.html%23commentform
